draw,dwell_quintile,p_choose_S,draw_subject_sd,n_subjects,draw_subject_sem
55,S>E,0.46816772733633,0.09722712097959639,21,0.02121669721388712
55,S>>E,0.5023694308153521,0.10133580046455462,21,0.022113284582750605
56,E>>S,0.57017705422327,0.13625278340785602,21,0.02973279493404397
56,E>S,0.5032376878018672,0.12695966550908488,21,0.027704870352459793
56,S~E,0.4487583307820031,0.09215536493971081,21,0.020109949311071636
56,S>E,0.4511439074537355,0.10093358142752692,21,0.022025513193077672
56,S>>E,0.5089223072315926,0.0752374927894362,21,0.016418166943156457
57,E>>S,0.5710831623667764,0.13659742610336723,21,0.02980800213594367
57,E>S,0.49020297995682827,0.13109712860194883,21,0.02860773881951385
57,S~E,0.4519331165006905,0.10048339205877345,21,0.021927273818821615
57,S>E,0.45175789571825803,0.0953284125499267,21,0.020802365066191306
57,S>>E,0.4916369419767098,0.10105266251546513,21,0.022051498816854552
58,E>>S,0.5909386102308136,0.14240140068634607,21,0.03107453322442464
58,E>S,0.4811012361317684,0.12456034704368998,21,0.02718129613893706
58,S~E,0.4549419494047428,0.11258512827393378,21,0.024568089163886406
58,S>E,0.4699650831437486,0.09990322089673714,21,0.021800670091866287
58,S>>E,0.51880070561429,0.08934540132048893,21,0.019496764978445144
59,E>>S,0.5973574658677336,0.17189235196078106,21,0.037509986392584294
59,E>S,0.5002126155714797,0.12917146286746733,21,0.028187524105635554
59,S~E,0.44563512863847393,0.10652947743153539,21,0.023246637813052418
59,S>E,0.4566371456158959,0.09670282012295629,21,0.021102285387102192
59,S>>E,0.514857044415949,0.08915427915110558,21,0.01945505870186498
60,E>>S,0.5659284472805828,0.1432422746534728,21,0.031258026967485406
60,E>S,0.49335369610643953,0.13897368680050615,21,0.030326544731924036
60,S~E,0.45176927926056465,0.09581371296166612,21,0.02090826629817174
60,S>E,0.45905353908320673,0.10461826482726809,21,0.022829577030756772
60,S>>E,0.5071243292936641,0.07737879410345005,21,0.01688543719826012
61,E>>S,0.5941392554705301,0.1416500211401344,21,0.03091056876508385
61,E>S,0.4876994967461534,0.11565927069553483,21,0.025238922037413153
61,S~E,0.4568369205498832,0.09611701796205653,21,0.02097445287545496
61,S>E,0.46543774095306567,0.1031810955662607,21,0.02251596098670772
61,S>>E,0.5192116883751071,0.07304967549636043,21,0.015940746069239644
62,E>>S,0.600901118659158,0.17475885705197708,21,0.03813550908593582
62,E>S,0.4939068189421511,0.13138680169007688,21,0.028670950669663298
62,S~E,0.4340701720173003,0.09944159549243363,21,0.021699935170059838
